Unnamed: 0,student_id,student serial,course_id,Course Name,course_name
0,0,16260,0,Computing Algorithms,Computing Algorithms
1,0,16260,1,DATA SECURITY,DATA SECURITY
2,0,16260,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
3,0,16260,3,NEURAL NETWORKS,NEURAL NETWORKS
4,1,24640,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5,1,24640,3,NEURAL NETWORKS,NEURAL NETWORKS
8,1,24640,0,Computing Algorithms,Computing Algorithms
9,1,24640,1,DATA SECURITY,DATA SECURITY
10,1,24640,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
11,2,20722,5,Modelling & Simulation,Modelling & Simulation
14,2,20722,1,DATA SECURITY,DATA SECURITY
15,2,20722,3,NEURAL NETWORKS,NEURAL NETWORKS
16,2,20722,0,Computing Algorithms,Computing Algorithms
17,2,20722,6,MICROCOMPUTER BASED DESIGN,MICROCOMPUTER BASED DESIGN
18,3,3908,1,DATA SECURITY,DATA SECURITY
19,3,3908,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
20,3,3908,6,MICROCOMPUTER BASED DESIGN,MICROCOMPUTER BASED DESIGN
21,4,20929,3,NEURAL NETWORKS,NEURAL NETWORKS
22,5,32532,1,DATA SECURITY,DATA SECURITY
23,5,32532,5,Modelling & Simulation,Modelling & Simulation
26,5,32532,6,MICROCOMPUTER BASED DESIGN,MICROCOMPUTER BASED DESIGN
29,5,32532,3,NEURAL NETWORKS,NEURAL NETWORKS
32,6,7203,1,DATA SECURITY,DATA SECURITY
35,6,7203,5,Modelling & Simulation,Modelling & Simulation
36,6,7203,3,NEURAL NETWORKS,NEURAL NETWORKS
37,6,7203,6,MICROCOMPUTER BASED DESIGN,MICROCOMPUTER BASED DESIGN
40,7,29037,1,DATA SECURITY,DATA SECURITY
43,7,29037,7,INTELLIGENT ROBOTICS,INTELLIGENT ROBOTICS
46,7,29037,8,ASSEMBLY language,ASSEMBLY language
49,8,31676,1,DATA SECURITY,DATA SECURITY
50,8,31676,5,Modelling & Simulation,Modelling & Simulation
51,8,31676,6,MICROCOMPUTER BASED DESIGN,MICROCOMPUTER BASED DESIGN
54,9,16695,8,ASSEMBLY language,ASSEMBLY language
55,9,16695,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
56,9,16695,1,DATA SECURITY,DATA SECURITY
57,10,12429,1,DATA SECURITY,DATA SECURITY
58,10,12429,6,MICROCOMPUTER BASED DESIGN,MICROCOMPUTER BASED DESIGN
59,10,12429,7,INTELLIGENT ROBOTICS,INTELLIGENT ROBOTICS
60,10,12429,8,ASSEMBLY language,ASSEMBLY language
61,11,10548,0,Computing Algorithms,Computing Algorithms
62,11,10548,3,NEURAL NETWORKS,NEURAL NETWORKS
63,11,10548,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
64,11,10548,1,DATA SECURITY,DATA SECURITY
65,11,10548,9,DISTRIBUTED & PARALLEL SYSTEMS,DISTRIBUTED & PARALLEL SYSTEMS
66,12,25924,3,NEURAL NETWORKS,NEURAL NETWORKS
67,12,25924,0,Computing Algorithms,Computing Algorithms
68,12,25924,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
70,13,215,0,Computing Algorithms,Computing Algorithms
71,13,215,3,NEURAL NETWORKS,NEURAL NETWORKS
72,13,215,1,DATA SECURITY,DATA SECURITY
73,13,215,8,ASSEMBLY language,ASSEMBLY language
76,13,215,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
77,13,215,9,DISTRIBUTED & PARALLEL SYSTEMS,DISTRIBUTED & PARALLEL SYSTEMS
78,14,27891,1,DATA SECURITY,DATA SECURITY
79,14,27891,0,Computing Algorithms,Computing Algorithms
80,14,27891,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
81,14,27891,6,MICROCOMPUTER BASED DESIGN,MICROCOMPUTER BASED DESIGN
82,14,27891,8,ASSEMBLY language,ASSEMBLY language
83,15,30713,3,NEURAL NETWORKS,NEURAL NETWORKS
86,15,30713,5,Modelling & Simulation,Modelling & Simulation
92,15,30713,1,DATA SECURITY,DATA SECURITY
95,16,10459,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
98,16,10459,5,Modelling & Simulation,Modelling & Simulation
99,16,10459,10,COMPUTER DESIGN & PERFORMANCE EVAL.,COMPUTER DESIGN & PERFORMANCE EVAL.
102,16,10459,1,DATA SECURITY,DATA SECURITY
106,17,21317,0,Computing Algorithms,Computing Algorithms
107,17,21317,1,DATA SECURITY,DATA SECURITY
108,17,21317,3,NEURAL NETWORKS,NEURAL NETWORKS
109,17,21317,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
110,17,21317,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
111,18,11186,1,DATA SECURITY,DATA SECURITY
112,18,11186,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
113,19,30457,3,NEURAL NETWORKS,NEURAL NETWORKS
114,19,30457,0,Computing Algorithms,Computing Algorithms
115,19,30457,1,DATA SECURITY,DATA SECURITY
116,20,6002,1,DATA SECURITY,DATA SECURITY
117,20,6002,3,NEURAL NETWORKS,NEURAL NETWORKS
118,20,6002,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
119,20,6002,9,DISTRIBUTED & PARALLEL SYSTEMS,DISTRIBUTED & PARALLEL SYSTEMS
120,21,10122,3,NEURAL NETWORKS,NEURAL NETWORKS
121,21,10122,0,Computing Algorithms,Computing Algorithms
122,21,10122,1,DATA SECURITY,DATA SECURITY
123,21,10122,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
